Mandarin	Vietnamese
猥獕	khốn khổ
猥獕	khốn nạn
猥獕	thấp hèn
猥獕	đáng khinh
猥獕	đê tiện
东欧	Đông Âu
第六感	Giác quan thứ sáu
牟	màu
牟	rậm
新教	Tin Lành
泰安市	Thái An
衣服	quần áo
服装	quần áo
戊	mậu
戈	qua
戌	tuất
尼日尔	Niger
平顶山市	Bình Đỉnh Sơn
大犬座VY	VY Canis Majoris
消息	tin tức
媒体报导	bài viết
媒体报导	chuyện
人	con người
人类	con người
智人	con người
叙利亚	Syria
渥雷·索因卡	Wole Soyinka
斯洛文尼亚托拉尔	Tôla Xlôvênia
£	£
SHP	SHP
圣赫勒拿群岛磅	bảng St. Helena
圣赫勒拿群岛磅	Bảng St. Helena
SGD	SGD
新加坡元	Đô la Singapore
㧍	phang
电子计算机	máy vi tính
电子计算机	máy điện toán
电脑	máy vi tính
电脑	máy điện toán
计算计	máy vi tính
计算计	máy điện toán
黄热病	sốt vàng
黄	hoàng
黄	vàng
One-Two-GO航空	One-Two-GO
在	đang
正在	đang
着	đang
圣诞树	cây Giáng sinh
麻醉	gây mê
麻醉	gây tê
课文	văn bản
课文	bài đọc
在	ở
教科书	sách giáo khoa
课本	sách giáo khoa
柠檬	chanh
沐浴	tắm
沐浴	tắm gội
沐浴	rửa ráy
沐浴	tắm rửa
洗浴	tắm
洗浴	tắm gội
洗浴	rửa ráy
洗浴	tắm rửa
转账卡	thẻ ghi nợ
安达曼-尼科巴群岛	Quần đảo Andaman và Nicobar
未知语言	Ngôn ngữ không xác định
甫	phủ
珊瑚海	Biển San Hô
英吉利海峡	Eo biển Măng-sơ
死海	Biển Chết
侵	xâm
侼	bụt
内燃机车	xe hơi
内燃机车	xe ô tô
内燃机车	ô tô
内燃机车	ôtô
汽车	xe hơi
汽车	xe ô tô
汽车	ô tô
汽车	ôtô
自动车	xe hơi
自动车	xe ô tô
自动车	ô tô
自动车	ôtô
车	xe hơi
车	xe ô tô
车	ô tô
车	ôtô
车子	xe hơi
车子	xe ô tô
车子	ô tô
车子	ôtô
硅	silic
矽	silic
小腿	ống quyển
胫	ống quyển
赫尔曼·梅尔维尔	Herman Melville
耶稣	Giê-su
姬路城	Thành Himeji
民主政治	dân chủ
糖尿病	Đái tháo đường
荷兰芹	mùi tây
香菜	mùi tây
欧芹	mùi tây
女子乐团	nhóm nhạc nữ
女子乐团	ban nhạc nữ
女子音乐组合	nhóm nhạc nữ
女子音乐组合	ban nhạc nữ
片	phiến
配偶	chồng
配偶	nhà
配偶	vợ
消防车	xe chữa cháy
公交车	xe buýt
老式电车	ô tô điện
公交车站	trạm xe buýt
玻利维亚	Bolivia
崇文区	Sùng Văn
鲜鱼汤	canh cá
尖音符	dấu
渔夫	người bắt cá
渔民	người bắt cá
埋伏	phục kích
俘虏	tù phạm
战俘	tù phạm
投降	đầu hàng
战利品	chiến lợi phẩm
警卫	người bảo vệ
䠣	rón
九边形	cửu giác
些	ta
些	ta
岸	ngàn
御	ngự
岵	hô
完满	thành
岸	ngàn
水烟筒	shisha
水烟	shisha
水烟袋	shisha
素可泰府	Tỉnh Sukhothai
录像带	máy chiếu phim
衲	nẹp
衰	suy
衰	suy
赵承熙	Cho Seung-Hui
雷姆·库哈斯	Rem Koolhaas
卒	tốt
巢	làm tổ
鸟巢	làm tổ
塞尔维亚	Serbia
阿伊努语	tiếng Ainu
缠绕	cuộn
丢	bỏ xuống
间二甲苯	M-Xylen
通臂拳	Thông bối quyền
帕劳	Palau
巴祖卡火箭筒	bazooka
公交车	xe đạp
摩托车	xe đạp
不迭	hoài
不断	hoài
不止	hoài
双向	hai chiều
双向	hai chiều
印度地理	Địa lý Ấn Độ
鍶	stronti
錫	thiếc
鈧	scandi
銻	antimon
釕	ruteni
氡	rađơn
釤	samari
硅	silic
金喜	seaborgi
硒	selen
克拉科夫	Kraków
ActiveX 对象	đối tượng ActiveX
ActiveX 数据对象	Đối tượng Dữ liệu ActiveX
ActiveX 控件	điều khiển ActiveX
ActiveX	ActiveX
量子力学	cơ học lượng tử
中国人民解放军	Quân Giải phóng Nhân dân Trung Quốc
宝石	đá quý
软件升级	nâng cấp phần mềm
10000	10000
洗黑钱	rửa tiền
溴	brôm
柏林Bólín)	Berlin
柏林Bólín)	Bá-linh
埼玉市	Thành phố Saitama
撩	lêu
事态	tình hình
状态	tình hình
情况	tình hình
墨丘利	Sao Thủy
墨丘利	Thần
水星	Sao Thủy
水星	Thần
垮	khoai
射线图	biểu đồ toả tròn
单选按钮	nút chọn một
牌子	thương hiệu
品牌	thương hiệu
商标	thương hiệu
工会	công đoàn
圣日耳曼昂莱	Saint-Germain-en-Laye
汗	khan
汗	hãn
可汗	khan
可汗	hãn
十三月	Nasie
1月	Meskerem
蕾切尔·卡逊	Rachel Carson
何塞·雷纳	José Manuel Reina
徐宁	Từ Ninh
黄海海战	Hải chiến Hoàng Hải
雪花球	quả cầu tuyết
雪景球	quả cầu tuyết
雪豹	báo tuyết
苹果树	cây táo
加那利群岛	Quần đảo Canaria
Microsoft 文本电话	điện thoại văn bản Microsoft
戊戌	Mậu Tuất
报春花科	Họ Anh thảo
阿姆斯特丹	Amsterdam
密	mật
密	mật
寄	gửi
寅	dần
寅	dần
寂	tịch
寄	gửi
阿拉斯加州	Alaska
尼罗河	Sông Nin
具意網站摘要	Dạng cung ứng site
RTF 框	hộp văn bản có định dạng
痀	khú
北海市	Bắc Hải
澜沧江	sông Lớn
澜沧江	sông Mê Kông
澜沧江	sông Cửu Long
湄公河	sông Lớn
湄公河	sông Mê Kông
湄公河	sông Cửu Long
争取	thuyết phục
劝服	thuyết phục
心服口服	thuyết phục
折服	thuyết phục
说服	thuyết phục
艾奥瓦州	Iowa
山东	Sơn Đông
华亭	Thượng Hải
申	Thượng Hải
申城	Thượng Hải
上海	Thượng Hải
沪渎	Thượng Hải
马尔代夫	Maldives
毛里求斯	Mauritius
中国澳门特别行政区	Macao, Trung Quốc
蒙古	Mông Cổ
北马里亚纳群岛	Quần đảo Bắc Mariana
毛里塔尼亚	Mauritania
马提尼克	Martinique
马耳他	Malta
腰痛	y chứng đau lưng
打字	đánh máy
打字	đánh chữ
打字	gõ
麻烦	vấn đề
难题	vấn đề
困难	vấn đề
问题	vấn đề
呼吸	hô hấp
呼吸	thở
吸	hô hấp
吸	thở
金鱼	cá vàng
𣓆	rườm
请坐	hãy ngồi xuống
请坐	làm ơn ngồi xuống
坐吧	hãy ngồi xuống
坐吧	làm ơn ngồi xuống
利口酒	rượu mùi
天坛座	Đàn Tế
盔甲	áo giáp
设备密码	mật khẩu thiết bị
不空	Bất Không Kim Cương
天鹰座	Đại Bàng
牢不可破的联盟	Gimn Sovetskogo Soyuza
鹿豹座	Báo Hươu
鹿豹座	Hươu Cao Cổ
雕具座	Dao Khắc
高台教	Đạo Cao Đài
卢浮宫	Viện bảo tàng Louvre
缺席	lơ đãng
DHTML	HTML động
庞德	Bàng Đức
势能	Thế năng
胚盘	bì phôi
世界语	quốc tế ngữ
由于	tại vì
因为	tại vì
地狱	địa ngục
秋田市	Thành phố Akita
行者	bằng chân
行人	bằng chân
字元對應表	Bản đồ kí tự
字符映射表	Bản đồ Kí tự
字符	kí tự
字符集	Tập ký tự
显然	rõ ràng
显然	hiển nhiên
明显	rõ ràng
明显	hiển nhiên
波多黎各	Puerto Rico
天卫十二	Portia
㖣	vòi
揭	yết
恬	điềm
恭	cung
萤火虫	đom đóm
消防员	lính cứu hỏa
消防队员	lính cứu hỏa
行動電話	điện thoại di động
忽必烈	Hốt Tất Liệt
母	má
母	mẹ
叶	lá
叶子	lá
幍	thao
粉	bụi
粉	bột
安德烈·马塞纳	André Masséna
神通鬼大	Grim Fandango
每	dằm
每	mỗi
那鸿	Nahum
俄巴底亚	Obadiah
弥迦	Micah
歷代志	Sử biên niên
凯文·洛奇	Kevin Roche
恩里科·费米	Enrico Fermi
安东尼·高第	Antoni Gaudí
王充	Vương Sung
丽江市	Lệ Giang
克什米尔	Jammu và Kashmir
克什米尔	Kashmir
查谟-克什米尔邦	Jammu và Kashmir
查谟-克什米尔邦	Kashmir
网络中心	Trung tâm mạng
网络驱动器	ổ đĩa mạng
干的	khô
湿的	ướt
磁气圈	quyển từ
磁层	quyển từ
昆明市	Côn Minh
民族主义	chủ nghĩa dân tộc
頁首	dòng đầu trang
肛门	hậu môn
蜜月	tuần trăng mật
芹菜	cần tây
沙特阿拉伯	Ả Rập Saudi
长方形	hình chữ nhật
矩形	hình chữ nhật
立陶宛文	Tiếng Lít-va
埁	gậm
埂	ghềnh
多边形	đa giác
番荔枝	mãng cầu
番荔枝	na
狐狼	chó rừng
狐狼	sa-can
豺狼	chó rừng
豺狼	sa-can
胡狼	chó rừng
胡狼	sa-can
涯	tầm nhận thức
天际	tầm nhận thức
二月	tháng hai
涯	tầm nhận thức
天际	tầm nhận thức
涯	tầm nhận thức
天际	tầm nhận thức
阿尔贝·加缪	Albert Camus
简单邮件传输协议	SMTP
增长	tăng
增加	tăng
增大	tăng
性格	nhân cách
性格	tính cách
个性	nhân cách
个性	tính cách
手风琴	đàn xếp
闭	đóng
关	đóng
关闭	đóng
樟宜机场	Sân bay quốc tế Changi Singapore
外人	người ngoại quốc
外人	người nước ngoài
外国人	người ngoại quốc
外国人	người nước ngoài
老外	người ngoại quốc
老外	người nước ngoài
中央邦	Madhya Pradesh
练习	luyện tập
运动	vận động
声卡	bo mạch âm thanh
揭阳市	Yết Dương
人族	Tông Người
海参	hải sâm
咖啡色	nâu
褐色	nâu
棕色	nâu
咖啡色	nâu
咖啡色	sạm
褐色	nâu
褐色	sạm
棕色	nâu
棕色	sạm
语音识别	nhận dạng tiếng nói
扬声器填充	đầy loa
寄件人政策架構 (SPF)	SPF (viết tắt của Khung chính sách người gửi)
SPF	SPF (viết tắt của Khung chính sách người gửi)
唿	hót
阳台	ban công
日历助理	Bộ trợ giúp Thiết lập lịch
空中客车	Airbus
不客气	không có chi
不用谢	không có chi
死亡	sự chết
死亡	cái chết
对等	ngang hàng
不同	giống
不同	khác
不一样	giống
不一样	khác
差别	giống
差别	khác
政治	chính trị
政治学	chính trị
政纲	chính trị
政见	chính trị
萨尔瓦多	El Salvador
萨尔瓦多	En-san-va-đo
萨尔瓦多	Salvador
俄国	Liên Xô
俄国	nước Nga
俄罗斯	Liên Xô
俄罗斯	nước Nga
苏维埃联盟	Liên Xô
苏维埃联盟	nước Nga
苏联	Liên Xô
苏联	nước Nga
柳树	Chi Liễu
克孜洛尔达	Qyzylorda
阿拉木图	Almaty
万象	Viêng Chăn
贝鲁特	Beirut
开曼	Cayman
阿克套	Aqtau
襄阳区	Tương Dương
传输控制协议	TCP
塞浦路斯	Síp
荒木经惟	Araki Nobuyoshi
如	như
伏尔加河	Sông Volga
独轮车	xe đẩy
手推车	xe đẩy
斐济	Fiji
紫灯花科	Họ Tử đăng
里加	Riga
芬兰湾	vịnh Phần Lan
本族语	tiếng mẹ đẻ
母语	tiếng mẹ đẻ
自然语言	lưỡi
自然语言	ngôn ngữ
赤	xích
朱蒙	Truyền thuyết Ju-mông
十一月	tháng 11
问	chất vấn
问	hỏi
询问	chất vấn
询问	hỏi
逾越节	Lễ Phục Sinh
眛	muội
夜莺	họa mi
涡轮发动机	turbine
1月	Thg 1
月野兔	Thủy thủ Mặt Trăng
行为主义	chủ nghĩa hành vi
泰国人	người Thái Lan
泰国人	người Thái
斩首	chém đầu
斩首	chặt đầu
砍头	chém đầu
砍头	chặt đầu
泰国化	Thái hóa
风扇	quạt điện
玻利维亚	Bolivia
玻利维亚	Bô-li-vi-a
宝莱坞	Bollywood
布尔什维克	Bolshevik
二	hai
两	hai
三	ba
什锦	thập cẩm
粟特	Sogdiana
电话卡	card điện thoại
电话卡	thẻ điện thoại
甘味剂	chất ngọt
甘味料	chất ngọt
甜味剂	chất ngọt
蜂蜜	mật
蜂蜜	mật ong
阿囡	mật
阿囡	mật ong
粱	lúa miến
高粱	lúa miến
俄亥俄州	Ohio
凡尔赛条约	Hòa ước Versailles
中共八大元老	Bát đại nguyên lão
金	vàng
南阳市	Nam Dương
英国	Vương quốc Anh
格林纳达	Grenada
马钱子碱	stricnin
阿根廷	Argentina
石秀	Thạch Tú
卡尔·林奈	Carolus Linnaeus
阿塞拜疆	Azerbaijan
潘基文	Ban Ki-moon
赤塔	Chita
汉德加	Khandyga
同志	bóng
同志	pê đê
英国人	người Anh
深平底锅	cái nồi
深平底锅	cái chảo
深平底锅	cái soong
各	các
马克·吐温	Mark Twain
葡萄牙人	người Bồ-đào-nha
葡萄牙人	tiếng Bồ Đào Nha
葡萄牙语	người Bồ-đào-nha
葡萄牙语	tiếng Bồ Đào Nha
福井谦一	Fukui Kenichi
短篇小说	truyện ngắn
桌布	khăn trải bàn
目录	mục lục
佳能	Canon
葡萄牙	Bồ Ðào Nha
巴基斯坦	Pa-ki-xtan
巴基斯坦伊斯兰共和国	Pa-ki-xtan
协作数据对象	Đối tượng Dữ liệu Hợp tác
冷启动	bắt đầu nguội
摺疊	thu gọn
文	văn
公引	hectomet
粨	hectomet
默	mặc
默	mặc
住	định cư
住	cư trú
住	ở
住	lưu trú
居留	định cư
居留	cư trú
居留	ở
居留	lưu trú
居住	định cư
居住	cư trú
居住	ở
居住	lưu trú
不来梅	Bremen
连接管理器	Bộ quản lí ghép nối
连接性	tính kết nối
科斗	nòng nọc
科斗	nọc nọc
蚪	nòng nọc
蚪	nọc nọc
蝌	nòng nọc
蝌	nọc nọc
蝌蚪	nòng nọc
蝌蚪	nọc nọc
猛犸象	Voi Ma mút
公丈	đêcamet
退回邮件	thông báo không gửi thư
結合物件框	khung đối tượng kết ghép
圣彼得堡	Sankt-Peterburg
生态	sinh thái học
矗	sực
可观	to
实质性	to
甚巨	to
甚钜	to
利物浦足球俱乐部	Liverpool
广告	quảng cáo
广告	giới thiệu
三月	Tháng 3
8	8
7	7
短	đoản
短	đoản
人人	mình
人人	ai
人人	ta
人人	người ta
自己	mình
自己	ai
自己	ta
自己	người ta
津巴布韦元 (1980–2008)	Đồng Đô la Zimbabwe (1980–2008)
西欧	Tây Âu
西弯	si-van
细吧特	sê-bát
林同省	Lâm Đồng
n/a	tắt tiếng
N/A	không áp dụng
五月	tháng năm
疲	bì
疪	tì
疫	dịch
元	nguyên
使用	dùng
使用	xài
使用	sử dụng
使用	lợi dụng
应用	dùng
应用	xài
应用	sử dụng
应用	lợi dụng
用	dùng
用	xài
用	sử dụng
用	lợi dụng
实用	có ích
有用	có ích
劝告	lời khuyên
忠告	lời khuyên
建议	lời khuyên
小兔子	con thỏ con
小兔子	thỏ con
小兔	con thỏ con
小兔	thỏ con
剑鱼	cá kiếm
红色	đỏ
湲	bợn
湳	nươm
葫芦科	Họ Bầu bí
灶神	Táo Quân
勇气	can đảm
胆量	can đảm
北瓜	bí xanh
夏南瓜	bí xanh
西葫芦	bí xanh
普拉蒂巴·帕蒂尔	Pratibha Patil
𦛜	hàm
基辅	Kiev
哈尔科夫	Kharkiv
帖	thiếp
兀	ngột
葡萄牙人	A Portuguesa
帒	đẫy
化学	hoá học
化学	hóa học
动物学	động vật học
砲兵	pháo binh
炮兵	pháo binh
都柏林	Dublin
耶路撒冷	Jerusalem
查亚普拉	Jayapura
爱尔兰标准时间	Giờ chuẩn Ai-len
坤甸	Pontianak
望加锡	Makassar
锂	lithi
锂	liti
毫克	miligam
上午	SA
刘璋	Lưu Chương
七	bảy
䏧	da
勇敢	dũng cảm
瑞士	Thụy Sĩ
嚓	xát
.NET Framework	Khuôn khổ .NET
回	hồi
化肥	phân bón
肥料	phân bón
长野	Nagano
安南	An Nam
安南	Trung Kì
三门峡市	Tam Môn Hạp
乔治·蓬皮杜	Georges Pompidou
阿拉伯 世界	thế giới Ả Rập
阿拉伯	Bán đảo Ả Rập
爱奥尼亚海	Biển Ionia
煎蛋饼	món trứng tráng
向量空间	không gian vectơ
矢量空间	không gian vectơ
东湖区	Đông Hồ
新地	kem mứt
圣代	kem mứt
音位	âm vị
塔林	Tallinn
临汾市	Lâm Phần
洋蓟	a-ti-sô
和	với
与	với
跟	với
飞跃	nhảy
跳跃	nhảy
蚕丝	lụa
丝	lụa
琅勃拉邦	Luang Prabang
病	bệnh
病	căn bệnh
症	bệnh
症	căn bệnh
疾病	bệnh
疾病	căn bệnh
病症	bệnh
病症	căn bệnh
£	£
彭德怀	Bành Đức Hoài
溴	brom
金波	bohri
鉍	bismut
鉍	bitmut
鋇	bari
鈣	canxi
鎘	cađimi
鎘	catmi
东莞市	Đông Hoản
千焦	kilô jun
呼	hô
呼	hô
命	mệnh
命	mệnh
命	mệnh
呿	khứa
卡路里	Calo
𥅞	thức
棿	nghê
软件	phần mềm
噩梦	ác mộng
恶梦	ác mộng
安阳市	An Dương
巴拿马运河	Kênh đào Panama
北卡罗来纳州	Bắc Carolina
怯	khiếp
社会主义	chủ nghĩa xã hội
军国主义	chũ nghĩa quân phiệt
青海	Thanh Hải
年长	cả
日本流行音乐	J-Pop
信念	tín ngưỡng
信义	tín ngưỡng
信心	tín ngưỡng
信赖	tín ngưỡng
信教	tín ngưỡng
表现	biểu hiện
表达	biểu hiện
表示	biểu hiện
赣语	Tiếng Cám
哈利.波特与死亡圣器	Harry Potter và Bảo bối Tử thần
休达	Ceuta
来	đến
在	đến
有	đến
是	đến
有	có
是	có
要点	mấu chốt
要旨	mấu chốt
大要	mấu chốt
江	hà
河	hà
河流	hà
天卫五	Miranda
美荻市	Mỹ Tho
复活节	Lễ Phục Sinh
复活节	Phục Sinh
红军派	Phái Hồng quân
兔	thỏ
纽伦堡	Nürnberg
慕尼黑	München
法兰克福	Frankfurt am Main
虛擬位址	địa chỉ ảo
虛擬	thực sự
体肤	bụng
体肤	dạ dày
肚	bụng
肚	dạ dày
肚子	bụng
肚子	dạ dày
腹	bụng
腹	dạ dày
腹部	bụng
腹部	dạ dày
腹腔	bụng
腹腔	bụng dạ
索尼爱立信	Sony Ericsson
阴阳历	âm dương lịch
摩西	Môi-se
摩西	Mô-sê
梅瑟	Môi-se
梅瑟	Mô-sê
埃	ai
奈姆蒂姆萨夫一世	Merenre I
平谷区	Bình Cốc
秧	ương
胡志明	Hồ Chí Minh
怑	bẳn
怒	nộ
刍	cỏ khô
刍秣	cỏ khô
干草	cỏ khô
藁草	cỏ khô
配置	bố trí
配置	bố trí
分层驱动程序	khiển trình phân tầng
第二层隧道协议(L2TP)	Giao thức đường hầm tầng 2
層	tầng
胡夫	Khufu
依善地区	Isan
叠	điệp
铁岭市	Thiết Lĩnh
痔	trĩ
仁	nhân
精液	tinh dịch
多次激活密钥	khoá đa kích hoạt
芝	chi
托洛斯基分子	người theo chủ nghĩa Trốt-xki
宁玛派	Ninh-mã phái
丛林	rừng
乔林	rừng
林	rừng
林子	rừng
树林	rừng
森	rừng
森林	rừng
平流层	tầng bình lưu
天气预报	dự báo thời tiết
出色	siêu
渨	hoáy
温	ồn
渭	ngan
渭	vây
港	cảng
逻辑链路控制	LLC
位元组	byte
字节	byte
周到	chu đáo
劳尔·卡斯特罗	Raul Castro
班达拉奈克国际机场	Sân bay quốc tế Bandaranaike
星期四	thứ năm
棉花糖	kẹo bông
陈毅	Trần Nghị
版本	phiên bản
天球	thiên cầu
宗教自由	tự do tôn giáo
宗教自由	tự do tín ngưỡng
鲭鱼	cá thu
五桠果科	Họ Sổ
拽	dìa
月饼	bánh trung thu
控	khống
拽	dìa
普朗克常数	hằng số Planck
词典	tự điển
词典	từ điển
字典	tự điển
字典	từ điển
辞典	tự điển
辞典	từ điển
捷克文	Tiếng Séc
滕州市	Đằng Châu
字幕	Tựa đề nhỏ
灯罩	tán đèn
灯罩	chao đèn
灯罩	chụp đèn
意味	nghĩa
含义	nghĩa
意义	nghĩa
意思	nghĩa
飞行	hàng không
航空	hàng không
洋菜	thạch
泰语	tiếng Thái Lan
泰语	tiếng Thái
古罗马	latino
古罗马的	latino
拉丁美洲	latino
拉丁美洲的	latino
拉丁语的	latino
周瑜	Chu Du
稀土元素	đất hiếm
稀土金属	đất hiếm
堤	đê
微	Micrô
13月	Nasie
列	liệt
需要	cần
需要	muốn
厘米	xentimét
消毒剂	thuốc tẩy uế
骸	hài
骸	hài
䇮	sậy
鞍山	An Sơn
雇佣兵	tay sai
雇佣兵	lính đánh thuê
佣兵	tay sai
佣兵	lính đánh thuê
吉娜	Zira
子拉	Zira
透明	trong suốt
泥炭	than bùn
嘶	tê
事实	sự việc
事实	sự thật
GNU通用公共许可证	Giấy phép Công cộng GNU
CLAMP	CLAMP
木星十六	Metis
进去	đi vào
进场	đi vào
进来	đi vào
离去	ra
逝世	ra
AAL	AAL
反失真	AA
月食	nguyệt thực
甜菜属	Chi Củ cải ngọt
𢐎	khom
略语	chữ viết tắt
略语	từ viết tắt
简写	chữ viết tắt
简写	từ viết tắt
缩写	chữ viết tắt
缩写	từ viết tắt
聊城市	Liêu Thành
公共交通	giao thông công cộng
共同交通	giao thông công cộng
应用程式	ứng dụng
应用程序	ứng dụng
应用	áp dụng
应用	ứng dụng
芦苇	Phragmites
吉布提	Djibouti
虎父无犬子	Cha nào con nấy
尺	thước
直尺	thước
邁爾漢·卡里米·納賽里	Merhan Karimi Nasseri
民族	nhân dân
人民	nhân dân
人们	người
人们	nhân dân
女孩	con gái
利器	nghề làm dao kéo
马其顿文	tiếng Macedonian
马其顿语	tiếng Macedonian
荷兰文	tiếng Hà Lan
荷兰语	tiếng Hà Lan
僧伽罗文	tiếng Sri Lanka
僧伽罗语	tiếng Sri Lanka
开曼元	Đô la Quần đảo Cayman
科威特第纳尔	Dinar Kuwait
KWD	KWD
科威特第纳尔	Dinar Kuwait
￦	₩
₩	₩
开曼元	Đô la Quần đảo Cayman
KYD	KYD
总部	trụ sở
司令部	tổng hành dinh
指挥部	tổng hành dinh
大本营	tổng hành dinh
正面	mặt ngửa
路德·古利特	Ruud Gullit
手腕子	cổ tay
共产主义	chủ nghĩa cộng sản
棒球	ba-dờ-bon
限制性	hạn chế
论文	đồ án tốt nghiệp
后天	Ngày kia
拉瓦尔大学	Đại học Laval
Google Web Accelerator	Google Web Accelerator
日历	lịch
卡特中心	Trung tâm Carter
左派	cánh tả
左翼	cánh tả
菲律宾	Phi-lip-pin
菲律宾	Philippines
巴布亚新几内亚	Pa-pu-a Niu Ghi-nê
巴布亚新几内亚	Papua New Guinea
巴布亚新几内亚	Papua Tân Guinea
巴布亚纽几内亚	Pa-pu-a Niu Ghi-nê
巴布亚纽几内亚	Papua New Guinea
巴布亚纽几内亚	Papua Tân Guinea
新畿内亚	Pa-pu-a Niu Ghi-nê
新畿内亚	Papua New Guinea
新畿内亚	Papua Tân Guinea
波兰	Ba Lan
秘鲁	Peru
秘鲁	Pê-ru
巴拿马	Pa-na-ma
巴拿马	Panama
沙漠	sa mạc
沙漠	hoang mạc
砂漠	sa mạc
砂漠	hoang mạc
一级方程式赛车	Công thức 1
古巴导弹危机	Khủng hoảng tên lửa Cuba
消化管	hệ tiêu hóa
消化系统	hệ tiêu hóa
消化道	hệ tiêu hóa
肠胃道	hệ tiêu hóa
方言学	thổ ngư học
滨海布洛涅	Boulogne-sur-Mer
结果	kết quả
神学	thần học
访问	đi thăm
往访	đi thăm
来访	đi thăm
眼力	thị giác
视力	thị giác
视觉	thị giác
多哈国际机场	Sân bay quốc tế Doha
大巽他群岛	Quần đảo Sunda Lớn
奥地利	Áo
手锯	cưa tay
势能	Thế năng
有用	có ích
柔道	柔道
母鸡	gà mái
比雅尼·斯特劳斯特鲁普	Bjarne Stroustrup
甫	phủ
用	dụng
甫	phủ
甫	phủ
巧克力	sô-cô-la
山楂	sơn tra
齿龈	lợi
渨	hoáy
希拉里·达夫	Hilary Duff
香蕉	chuối
莉莉斯	Lilith
蜗牛	ốc
霍	hoắc
弗吉尼亚·吴尔夫	Virginia Woolf
新	mới
耳	tai
BASIC	BASIC
口语	ngôn ngữ
口语沟通	ngôn ngữ
白话	ngôn ngữ
语声	ngôn ngữ
动作	chuyển động
法国长棍	banh mì
法国长棍	bánh mì
法国长棍	bánh mì Pháp
法棍	banh mì
法棍	bánh mì
法棍	bánh mì Pháp
长棍	banh mì
长棍	bánh mì
长棍	bánh mì Pháp
时事	thời sự
轿	kiệu
轿子	kiệu
舆	kiệu
镇静剂	làm dịu
镇静药	làm dịu
尼古拉·特斯拉	Nikola Tesla
鱼	cá
阿月浑子	hạt dẻ
阿月浑子实	hạt dẻ
巴基斯坦	Pa-ki-xtan
巴基斯坦	Pakistan
阿曼	Oman
阿曼	Ô-man
新西兰	New Zealand
新西兰	Niu Di-lân
纽西兰	New Zealand
纽西兰	Niu Di-lân
葡萄牙语	tiếng Bồ-đào-nha
通货紧缩	giảm phát
母马	ngựa cái
牸马	ngựa cái
騋	ngựa cái
海鸥	mòng bể
海鸥	mòng biển
海鸥	hải âu
嗳气	ợ
饱嗝	ợ
砖匠	thợ nề
砖匠	thợ hồ
蛆	con giòi
蛆	giòi
蛴	con giòi
蛴	giòi
蓼科	Họ Rau răm
唱片集	an bum
泰米尔文数字	Chữ số Tamil
传统泰米尔文数字	Chữ số Tamil Truyền thống
尼加拉瓜	Nicaragua
芭比娃娃	Barbie
道德	đạo đức
公顷	héc-ta
欧洲历史	Lịch sử châu Âu
艾伦·图灵	Alan Turing
熊	hùng
字符串	xâu
水星	Sao Thủy
防城港市	Phòng Thành Cảng
云杉	vân sam
铱	iriđi
武士道	võ sĩ đạo
鞑靼斯坦	Tatarstan
有线的	nối dây
有线等效保密	Tính riêng tư tương đương nối dây
微笑	cười
塞	tắc
兵	binh
性交	sự giao cấu
塞	tắc
下	hạ
下	hạ
不	bất
不	bất
翻译	dịch
传译	dịch
中子	neutron
中微子	neutrino
高鼻羚羊	linh dương saiga
海	hải
海	biển
弟茂德前书	Thư thứ nhất gởi Timothy
致提摩泰书一	Thư thứ nhất gởi Timothy
提摩太前书	Thư thứ nhất gởi Timothy
得撒洛尼前书	Thư thứ nhất gởi các tín hữu tại Thessalonica
帖撒罗尼迦前书	Thư thứ nhất gởi các tín hữu tại Thessalonica
致德撒洛尼基人书一	Thư thứ nhất gởi các tín hữu tại Thessalonica
得撒洛尼後书	Thư thứ nhì gởi các tín hữu tại Thessalonica
致德撒洛尼基人书二	Thư thứ nhì gởi các tín hữu tại Thessalonica
帖撒罗尼迦後书	Thư thứ nhì gởi các tín hữu tại Thessalonica
斐理伯书	Thư gởi các tín hữu tại Philippi
腓立比书	Thư gởi các tín hữu tại Philippi
致斐利彼人书	Thư gởi các tín hữu tại Philippi
致科罗西人书	Thư gởi các tín hữu tại Côlôsê
哥罗森书	Thư gởi các tín hữu tại Côlôsê
歌罗西书	Thư gởi các tín hữu tại Côlôsê
加拉太书	Thư gởi các tín hữu tại Galat
迦拉达书	Thư gởi các tín hữu tại Galat
致噶拉塔人书	Thư gởi các tín hữu tại Galat
格林多前书	Thư thứ nhất gởi các tín hữu tại Côrintô
哥林多前书	Thư thứ nhất gởi các tín hữu tại Côrintô
致科林托人书一	Thư thứ nhất gởi các tín hữu tại Côrintô
格林多後书	Thư thứ nhì gởi các tín hữu tại Côrintô
哥林多後书	Thư thứ nhì gởi các tín hữu tại Côrintô
致科林托人书二	Thư thứ nhì gởi các tín hữu tại Côrintô
缶	phẫu
气化	khí hoá
葡萄牙	Bồ Đào Nha
辟	vếch
辞	từ
辟	vếch
辛	tân
辛	tân
座谈会	diễn đàn
论坛	diễn đàn
论坛	diễn đàn
论坛	4rum
讨论板	diễn đàn
讨论板	4rum
失恋	vỡ tim
破碎的心	vỡ tim
ODBC 驅動程式	khiển trình ODBC
OCR	OCR
斯威士兰	Swaziland
延展纪	Kỷ Ectasis
埃塞俄比亚	Ethiopia
爱沙尼亚	Estonia
