'ad		1. (pron) Connacht form of agat	alt-of connacht
tuillim		1. (verb) first-person singular present indicative/imperative of tuill	
tuillte		1. (verb) past participle of tuill	form-of participle past
tuin		1. (noun) accent<br />EXAMPLE: tuin iasachta: foreign accent	feminine topic-talking
tuinnín		1. (noun) tuna	masculine topic-scombroids
tuir		1. (noun) pillar, prop<br />2. (noun) hero, warrior	feminine figuratively obsolete
tuirbín		1. (noun) turbine	masculine topic-machines
tuirbín gaile		1. (noun) steam turbine	masculine topic-machines
tuirbín gaoithe		1. (noun) wind turbine	masculine topic-machines
tuirbínghluaiste		1. (adj) turbine-driven	
tuirbíní		1. (noun) plural of tuirbín	form-of plural
tuirc		1. (noun) obsolete spelling of toirc	alt-of masculine obsolete
tuireadh		1. (noun) genitive singular of tuir	form-of genitive singular
tuirling		1. (verb) to alight (get off an animal; exit from a vehicle; descend and settle), dismount<br />2. (verb) to descend, come down<br />3. (verb) to land (descend to a surface, especially from the air)<br />4. (verb) to light<br />5. (noun) alternative form of tuirlingt	alt-of alternative feminine
tuirlingt		1. (noun) verbal noun of tuirling<br />2. (noun) dismount<br />3. (noun) descent<br />4. (noun) landing (of airplane etc.)	feminine form-of noun-from-verb
tuirne		1. (noun) spinning wheel (device for spinning thread with a wheel and a spindle)	masculine topic-textiles
tuirse		1. (noun) tiredness, weariness, fatigue<br />EXAMPLE: Imíonn an tuirse ach fanann an tairbhe.: The fatigue leaves but the profit remains.<br />2. (noun) sorrowing; (weight of) sorrow	feminine
tuirseach		1. (adj) tired<br />EXAMPLE: Tá mé tuirseach den chaint.: I’m tired of the talk<br />EXAMPLE: Tá mise tuirseach agus beidh go lá<br />Mo Mháire bhroinngheal ’s mo Phádraig bán<br />Ar bharr na dtonna ’s fá bhéal na trá<br />Siúd chugaibh Mary Chinidh ’s í ’ndiaidh an Éirne ’shnámh<br />I’m tired and will be until day: On top of the waves and under the beach<br />There for you [is] Mary Chinidh having swum in the Erne	topic-sleep
tuirseach traochta		1. (adj) worn out, exhausted	
tuirsigh		1. (verb) to tire, weary, get tired, grow weary<br />2. (verb) to tire out, fatigue, weary<br />3. (verb) to get tired (of), get fed up (with)<br />4. (adj) inflection of tuirseach:<br />5. (adj) masculine vocative/genitive singular<br />6. (adj) feminine dative singular	archaic dative feminine form-of intransitive singular transitive
tuisceana		1. (noun) genitive singular of tuiscint	form-of genitive singular
tuiscint		1. (noun) verbal noun of tuig<br />2. (noun) understanding, comprehension, wisdom, discernment<br />3. (noun) understanding, consideration, thoughtfulness<br />4. (noun) appreciation<br />5. (noun) awareness	feminine form-of noun-from-verb
tuiseal		1. (noun) case<br />2. (noun) alternative form of tuisle	alt-of alternative masculine topic-grammar
tuiseal ainmneach		1. (noun) nominative case	masculine nominative topic-grammar
tuiseal ginideach		1. (noun) genitive case	genitive masculine topic-grammar
tuiseal sealbhach		1. (noun) possessive case	masculine topic-grammar
tuisil		1. (noun) inflection of tuiseal (“case”):<br />2. (noun) vocative/genitive singular<br />3. (noun) nominative/dative plural	dative form-of masculine nominative plural
tuisil ainmnigh		1. (noun) vocative/genitive singular of tuiseal ainmneach (“nominative case”)	masculine
tuisligh		1. (verb) to stumble, trip<br />2. (verb) to stagger, totter	intransitive
tuismeadh		1. (noun) conception, procreation<br />2. (noun) parturition	masculine
tuismigh		1. (verb) to procreate	
tuismithe		1. (verb) past participle of tuismigh	form-of participle past
tuismitheoir		1. (noun) parent	masculine topic-parents
tuit		1. (noun) alternative form of toit (“smoke”)<br />2. (verb) alternative form of tit (“fall”)	alt-of alternative feminine
tuite		1. (noun) genitive singular of tuit<br />2. (verb) alternative form of tite (past participle of tit)<br />3. (verb) alternative form of tite (present subjunctive analytic of tit)	alt-of alternative form-of genitive participle singular
tuiteadh		1. (verb) alternative form of titeadh	alt-of alternative
tuitear		1. (verb) alternative form of titear	alt-of alternative
tuitim		1. (noun) alternative form of titim: verbal noun of tuit<br />2. (verb) alternative form of titim: first-person singular present indicative/imperative of tuit	alt-of alternative feminine
tulach		1. (noun) hillock	feminine
tum		1. (verb) to dip (lower into a liquid), immerse, plunge, duck, submerge<br />2. (verb) to dip (treat cattle or sheep by immersion)<br />3. (verb) to dive (jump into water head-first; descend)<br />4. (verb) to pitch (move so that the front of the craft goes alternatively up and down)	ambitransitive
tumadh		1. (noun) verbal noun of tum<br />2. (verb) inflection of tum:<br />3. (verb) autonomous past indicative<br />4. (verb) third-person singular imperative	autonomous form-of imperative indicative masculine noun-from-verb past singular third-person
tumaidh		1. (verb) second-person plural imperative of tum	archaic dialectal form-of imperative plural second-person
tumba		1. (noun) alternative form of tuama (“tomb; tombstone”)	alt-of alternative masculine
tumfaidh		1. (verb) analytic future of tum	analytic form-of future
tump		1. (noun) butt, thump	masculine
tumpa		1. (noun) genitive singular of tump (“butt, thump”)	form-of genitive masculine singular
tumpanna		1. (noun) plural of tump (“butt, thump”)	form-of masculine plural
tundra		1. (noun) tundra	masculine topic-geography
tunna		1. (noun) tun	masculine
tur		1. (adj) dry (of food)<br />2. (adj) arid (of climate)	
tura		1. (adj) nominative/vocative/dative/strong genitive plural of tur	dative form-of genitive nominative plural strong vocative
turadh		1. (noun) dry weather, dry spell<br />2. (noun) the cessation of rain	masculine
turaire		1. (noun) A person who eats food without any sauce, meat or condiments.<br />2. (noun) Someone who lacks a sense of humour.<br />3. (noun) Someone who is unbearably dry, stiff and lifeless.	masculine
turaireacht		1. (noun) The quality of being dry or unfunny; humourlessness.<br />2. (noun) Lifelessness; stiffness.	feminine
turais		1. (noun) inflection of turas (“journey; pilgrimage; time, occasion”):<br />2. (noun) vocative/genitive singular<br />3. (noun) nominative/dative plural	dative form-of masculine nominative plural
turaistí		1. (noun) plural of turas (“journey; pilgrimage; time, occasion”)	dialectal form-of masculine plural
turas		1. (noun) journey<br />2. (noun) pilgrimage	masculine
turas oilithreachta		1. (noun) pilgrimage	masculine
turasanna		1. (noun) plural of turas (“journey; pilgrimage; time, occasion”)	dialectal form-of masculine plural
turasóir		1. (noun) sightseer, tourist, tripper	masculine topic-people
turasóireacht		1. (noun) journeying (to and fro)<br />2. (noun) touring<br />3. (noun) tourism	feminine
turasóireachta		1. (noun) genitive singular of turasóireacht	feminine form-of genitive singular
turasóirí		1. (noun) plural of turasóir (“sightseer, tourist, tripper”)	form-of masculine plural
turasóra		1. (noun) genitive singular of turasóir (“sightseer, tourist, tripper”)	form-of genitive masculine singular
turaíocht		1. (noun) dry, plain food; meals without sauce or condiments.	feminine
turcach		1. (noun) alternative form of turcaí (“turkey”)	alt-of alternative masculine
turcaithe		1. (noun) plural of turcaí (“turkey”)	form-of masculine plural
turcaí		1. (noun) turkey (Meleagris gallopavo)	masculine topic-fowls topic-poultry
turgnamh		1. (noun) experiment	masculine
turscar		1. (noun) seawrack (masses of seaweed on the shore)<br />2. (noun) detritus, refuse (items or material that have been discarded)<br />3. (noun) spam (unsolicited bulk electronic messages)<br />4. (noun) trappings, belongings	literary masculine topic-computing
turtar		1. (noun) turtle (land or marine reptile with a shell)	masculine topic-turtles
turus		1. (noun) obsolete spelling of turas	alt-of masculine obsolete
tusa		1. (pron) emphatic form of tú<br />EXAMPLE: you (singular), thou	conjunctive emphatic form-of
tuth		1. (noun) odour, stench, funk<br />2. (intj) what a stench!	feminine
tuthóg		1. (noun) puff, fart	feminine
tuáille		1. (noun) towel	masculine
tuáilléadach		1. (noun) terry cloth	masculine topic-fabrics
tuáilléadaigh		1. (noun) vocative/genitive singular of tuáilléadach	masculine
tuáillí		1. (noun) plural of tuáille (“towel”)	form-of masculine plural
tuí		1. (noun) thatch<br />2. (noun) straw	feminine
tuíchlár		1. (noun) strawboard	masculine
tuíodóir		1. (noun) thatcher	masculine topic-construction topic-occupations
tuíodóireacht		1. (noun) thatching	feminine topic-construction
tvuít		1. (noun) tweet	feminine internet topic-internet
tvuíteáil		1. (verb) tweet	internet topic-internet
tá		1. (verb) present indicative independent affirmative progressive analytic of bí: "is"	affirmative analytic form-of independent indicative present progressive
tá a fhios ag		1. (verb) present of a fhios a bheith agat<br />EXAMPLE: Tá a fhios ag Séamas cad é atá dul.: James knows what’s going on.	form-of present
tá brón orm		1. (phrase) I’m sorry	
tá faoi		1. (verb) to intend (with the subject of “intend” rendered as the object of faoi)<br />EXAMPLE: Tá fúm an Ghearmáinis a fhoghlaim.: I intend to learn German.<br />EXAMPLE: An raibh faoi Úna dul abhaile?: Did Úna intend to go home?	
tá fáilte romhat		1. (phrase) welcome! (spoken to one person)<br />2. (phrase) you’re welcome (spoken to one person)	
tá grá agam dhuit		1. (phrase) I love you	
tá grá agam ort		1. (phrase) I love you (used with loved ones of all types - family, boyfriend, girlfriend, wife, etc.)	
tá ocras orm		1. (phrase) I'm hungry	
tá's ag		1. (phrase) contraction of tá a fhios ag	abbreviation alt-of contraction
tábhacht		1. (noun) importance; significance, substance<br />2. (noun) industry, thrift	feminine
tábhachtach		1. (adj) important, significant; substantial, consequential<br />2. (adj) industrious, thrifty	
tábhairne		1. (noun) tavern	feminine masculine topic-bars topic-restaurants
tábhairneoir		1. (noun) landlord, publican	masculine topic-occupations
tábla		1. (noun) table<br />2. (noun) inscribed slab<br />3. (noun) list of facts<br />4. (noun) paradigm	masculine ulster
tábla peiriadach		1. (noun) periodic table	masculine topic-chemistry
tádar		1. (verb) third-person plural present indicative independent affirmative progressive of bí	affirmative form-of independent indicative munster plural present progressive third-person
táid		1. (verb) third-person plural present indicative independent affirmative progressive of bí	affirmative form-of independent indicative munster plural present progressive third-person
táille		1. (noun) fee, charge	feminine
táilliúir		1. (noun) tailor (person who makes, repairs, and alters clothes)<br />2. (noun) tailor, bluefish (Pomatomus saltatrix)<br />3. (noun) inflection of táilliúr:<br />4. (noun) vocative/genitive singular<br />5. (noun) nominative/dative plural	dative form-of masculine nominative plural
táilliúra		1. (noun) genitive singular of táilliúir	form-of genitive masculine singular
táim		1. (verb) first-person singular present indicative independent affirmative progressive of bí: “I am”<br />EXAMPLE: Táim anseo.: I am here.	affirmative first-person form-of independent indicative munster present progressive singular
táimid		1. (verb) first-person plural present indicative independent affirmative progressive of bí; "we are"<br />EXAMPLE: Táimid anseo.: We are here.	affirmative first-person form-of independent indicative plural present progressive
táin		1. (noun) cattle-raid, plundering expedition<br />2. (noun) a story about a cattle-raid or plundering expedition<br />3. (noun) the cattle plundered in a cattle-raid<br />4. (noun) flock, herd<br />5. (noun) wealth, fortune<br />6. (noun) a large amount, a great number<br />7. (noun) a crowd	feminine in-plural literary
táinte		1. (noun) plural of táin	form-of plural
táir		1. (verb) second-person singular present indicative independent affirmative progressive of bí	affirmative form-of independent indicative munster present progressive second-person singular
táirg		1. (verb) produce, manufacture	transitive
táirge		1. (noun) product (commodity for sale)<br />2. (noun) product (result of chemical reaction)	masculine topic-chemistry
táirgeacht		1. (noun) output, outturn<br />2. (noun) production, yield<br />3. (noun) milk yield	feminine
táirgeadh		1. (noun) verbal noun of táirg (“produce, manufacture”)<br />2. (noun) production, output<br />3. (noun) alternative form of táirge (“product”)	alt-of alternative form-of masculine noun-from-verb
táirgeoir		1. (noun) producer	feminine
táirgiúil		1. (adj) productive	
táirgiúlacht		1. (noun) productiveness, productivity	feminine
tál		1. (noun) adze<br />2. (noun) verbal noun of tál<br />3. (noun) lactation, yield, flow; secretion<br />4. (noun) yield, flow; grant, bestowal<br />5. (verb) yield; secrete<br />6. (verb) suckle	figuratively form-of intransitive masculine noun-from-verb transitive
tálaim		1. (verb) first-person singular present indicative/imperative of tál	
támh		1. (noun) trance, swoon<br />EXAMPLE: Nuair a chualaidh an rí seo, ghlac sé támh ⁊ thuit sé marbh ar an talamh.: When the king heard this, he went into a swoon and fell dead upon the ground.<br />2. (noun) plague<br />3. (noun) rest, sleep	archaic feminine literary masculine
támáilte		1. (verb) past participle of támáil<br />2. (adj) sluggish, slothful	form-of participle past
tána		1. (noun) genitive singular of táin	form-of genitive singular
tánaiste		1. (noun) tanist, heir presumptive<br />2. (noun) deputy prime minister<br />3. (noun) second-in-command, second in rank or dignity; next in order<br />4. (noun) third finger<br />5. (adj) the second, another	genitive historical masculine topic-monarchy topic-politics
tánn		1. (verb) alternative form of tá: present indicative independent affirmative progressive analytic of bí	alt-of alternative dialectal
tástáil		1. (verb) taste<br />2. (verb) test, try<br />3. (noun) verbal noun of tástáil<br />4. (noun) taste, sample<br />5. (noun) test, trial, experiment	feminine form-of noun-from-verb
tástáil tiomána		1. (noun) driving test, road test	feminine
tástáilte		1. (verb) past participle of tástáil	form-of participle past
tástála		1. (noun) genitive singular of tástáil	form-of genitive singular
tástálacha		1. (noun) plural of tástáil (“taste, sample; test, trial, experiment”)	feminine form-of plural
tástálann		1. (verb) present indicative analytic of tástáil	analytic form-of indicative present
tástálfaidh		1. (verb) future analytic of tástáil	analytic form-of future
táthaigh		1. (verb) to weld (join materials (especially metals) by applying heat)<br />2. (verb) to cement (affix with cement)	
táthaire		1. (noun) welder<br />2. (noun) hanger-on, toady<br />3. (noun) cadger, scrounger	masculine
táthaireacht		1. (noun) toadying<br />2. (noun) cadging, scrounging<br />3. (noun) cheekiness, impertinence	feminine
táthaoi		1. (verb) second-person plural present indicative of bí	archaic form-of indicative plural present second-person
táthar		1. (verb) present indicative independent affirmative progressive autonomous of bí<br />EXAMPLE: Táthar ag déanamh na hoibre.: The work is being done.	affirmative autonomous form-of independent indicative present progressive
táthaím		1. (verb) first-person singular present indicative/imperative of táthaigh	
táthóchaidh		1. (verb) Ulster and archaic form of táthóidh: analytic future of táthaigh	alt-of archaic ulster
táthóidh		1. (verb) analytic future of táthaigh	analytic form-of future
táthú		1. (noun) verbal noun of táthaigh	form-of masculine noun-from-verb
té		1. (verb) present subjunctive analytic of téigh<br />2. (pron) only used in an té<br />3. (noun) The name of the Latin-script letter t/T.	analytic form-of present subjunctive topic-latin-letter-names
téacht		1. (verb) freeze; congeal, coagulate; set, solidify	ambitransitive
téachtapaite		1. (noun) coagulopathy	feminine topic-diseases
téacs		1. (noun) text<br />2. (noun) citation, verse	masculine
téacsa		1. (noun) alternative form of téacs<br />2. (noun) plural of téacs	alt-of alternative form-of masculine plural
téacsach		1. (adj) textual	
téacsanna		1. (noun) plural of téacs	form-of plural
téacsleabhar		1. (noun) textbook	masculine topic-books topic-education
téad		1. (noun) rope<br />2. (noun) string of a musical instrument<br />3. (verb) first-person singular present subjunctive of téigh	archaic feminine first-person form-of munster present singular subjunctive
téada		1. (noun) nominative/vocative/dative of téad	dative feminine form-of nominative plural vocative
téada an ghutha		1. (noun) vocal cords, vocal folds	feminine plural topic-anatomy
téadchlár		1. (noun) dulcimer	masculine topic-musical-instruments
téadchlár casúr		1. (noun) hammered dulcimer	masculine topic-musical-instruments
téadh		1. (verb) past subjunctive analytic of téigh	analytic form-of past subjunctive
téagartha		1. (adj) substantial, stout, burly, strong, bulky, large<br />EXAMPLE: teann téagartha: strong and thickset<br />2. (adj) stout (corpulent), full (plump, round), full-figured<br />3. (adj) sheltered, comfortable and warm (of a house etc.)	
téagarthach		1. (adj) alternative form of téagartha	alt-of alternative
téaltaigh		1. (verb) to creep, sneak, slink<br />2. (verb) alternative form of síothlaigh (“to strain”)	alt-of alternative
téaltó		1. (noun) alternative form of téaltú: verbal noun of téaltóigh	alt-of alternative masculine
téaltóigh		1. (verb) alternative form of téaltaigh	alt-of alternative
téama		1. (noun) theme<br />2. (noun) topics of conversation; humorous talk, pleasantries, fun	masculine plural-normally topic-music
téamh		1. (noun) verbal noun of téigh (“to heat”)	form-of masculine noun-from-verb
téana		1. (verb) come on! go on!	defective
téanam		1. (verb) first-person plural of téana: let's go!<br />EXAMPLE: Nuair a tháinigh sí thar n‑ais : « téanam leat ar siubhal anois », ar sise, « tamall ».: When she came back, “Now let’s go for a walk,” she said, “for a while”.	first-person form-of plural
téann		1. (verb) analytic present indicative of téigh	analytic form-of indicative present
téarma		1. (noun) term, period<br />2. (noun) time limit<br />3. (noun) term, condition<br />4. (noun) quatrain, stanza, verse	masculine topic-music topic-poetry
téarmagrafaíochta		1. (noun) genitive singular of téarmagrafaíocht	form-of genitive singular
téarmaí		1. (noun) plural of téarma	form-of plural
téas		1. (verb) present indicative relative of téigh	form-of indicative present relative
téid		1. (noun) dative singular of téad<br />2. (verb) third-person plural present indicative/subjunctive of téigh<br />3. (verb) analytic present indicative of téigh	analytic archaic dative dialectal form-of indicative munster plural present singular subjunctive third-person ulster
téide		1. (noun) genitive singular of téad	feminine form-of genitive singular
téidís		1. (verb) third-person plural past subjunctive of téigh	form-of past plural subjunctive third-person
téigh		1. (verb) go<br />EXAMPLE: Chuaigh mé abhaile.: I went home.<br />EXAMPLE: Téigh trasna an bhóthair.: Go across the road/Cross the road.<br />EXAMPLE: Seachtmhain roimhe Shamhain chuaidh an Seónstanach siar ⁊ seacht ngearráin ⁊ péire cliabh air ghach gearrán fá choinne a chuid ime.: A week before Samhain, Johnstone went back with seven geldings and a pair of panniers on each gelding for his butter.<br />2. (verb) heat, warm<br />3. (verb) give a warm feeling to<br />4. (verb) have a warm feeling for<br />5. (verb) kindle, glow<br />6. (verb) inflame<br />7. (verb) overheat	ambitransitive literally
téigh ar ceal		1. (verb) to disappear<br />2. (verb) to be absent, be missing, be lacking<br />3. (verb) to get lost, go missing	intransitive
téigh ar gcúl		1. (verb) to recede, regress (move back)<br />2. (verb) to retire (go back or return; retreat from action or danger)<br />3. (verb) to wane (of the moon)	
téigh i bhfeidhm		1. (verb) to make an impression [with ar ‘on’], strike<br />2. (verb) to affect, influence, sway, have an effect<br />3. (verb) to be reacted to<br />EXAMPLE: Cén chaoi a rachaidh an scéala i bhfeidhm uirthi?: How will she react to the news?<br />EXAMPLE: Ní mar a chéile a théann cógais i bhfeidhm ar gach duine.: People react differently to medicines.<br />4. (verb) to grip (have a strong emotional effect upon)<br />5. (verb) to impress (affect strongly and often favourably)	
téigh in airdeoga		1. (verb) to become stuck up	
téigh in ionad		1. (verb) supersede	transitive
téighdís		1. (verb) archaic spelling of téidís	alt-of archaic
téighidh		1. (verb) archaic form of téigí	alt-of archaic
téigí		1. (verb) second-person plural imperative of téigh	form-of imperative plural second-person
téim		1. (verb) first-person singular present indicative/imperative of téigh	
téimid		1. (verb) first-person plural present indicative/subjunctive of téigh	first-person form-of indicative plural present subjunctive
téimis		1. (verb) first-person plural past subjunctive of téigh	first-person form-of past plural subjunctive
téinn		1. (verb) first-person singular past subjunctive of téigh	first-person form-of past singular subjunctive
téip		1. (noun) tape	feminine
téip físe		1. (noun) videotape	feminine
téip ghreamaitheach		1. (noun) adhesive tape<br />2. (noun) Sellotape, Scotch tape	feminine
téipe		1. (noun) genitive singular of téip (“tape”)	feminine form-of genitive singular
téipe físe		1. (noun) genitive singular of téip físe (“videotape”)	form-of genitive singular
téipeanna		1. (noun) plural of téip	feminine form-of plural
téipeanna físe		1. (noun) plural of téip físe	feminine form-of plural
téir		1. (verb) second-person singular present indicative/present subjunctive/imperative of téigh	munster
téis		1. (noun) thesis	feminine
téisiúil		1. (adj) forward, shameless, pushing, fresh, daring<br />2. (adj) sexy (sexually attractive)<br />3. (adj) sexy, sensuous, erotic	
téite		1. (verb) past participle of téigh (“to heat”)<br />2. (noun) genitive singular of téamh	form-of genitive participle past singular
téitear		1. (verb) inflection of téigh:<br />2. (verb) present indicative/subjunctive autonomous<br />3. (verb) imperative autonomous	autonomous form-of imperative indicative present subjunctive
téiteá		1. (verb) second-person singular past subjunctive of téigh	form-of past second-person singular subjunctive
téití		1. (verb) past subjunctive autonomous of téigh	autonomous form-of past subjunctive
tí		1. (noun) track, trace<br />2. (noun) genitive singular of teach<br />3. (verb) subjunctive analytic of tar<br />4. (verb) alternative spelling of tchí	alt-of alternative analytic feminine form-of genitive singular subjunctive
tífeadh		1. (verb) conditional independent analytic of feic	analytic conditional form-of independent ulster
tífear		1. (verb) future independent autonomous of feic	autonomous form-of future independent ulster
tífeas		1. (verb) future direct relative of feic	direct form-of future relative ulster
tífeá		1. (verb) second-person singular conditional independent of feic	conditional form-of independent second-person singular ulster
tífidh		1. (verb) alternative spelling of tchífidh	alt-of alternative
tífidh mé thú		1. (phrase) alternative spelling of tchífidh mé thú	alt-of alternative
tífimid		1. (verb) first-person plural future independent of feic	first-person form-of future independent plural ulster
tífimis		1. (verb) first-person plural conditional independent of feic	conditional first-person form-of independent plural ulster
tífinn		1. (verb) first-person singular conditional independent of feic	conditional first-person form-of independent singular ulster
tífí		1. (verb) conditional independent autonomous of feic	autonomous conditional form-of independent ulster
tílicín		1. (noun) thylacine (Thylacinus cynocephalus)	masculine topic-dasyuromorphs
tím		1. (verb) alternative spelling of tchím	alt-of alternative ulster
tímeas		1. (noun) thymus	masculine topic-anatomy topic-immunology
tímid		1. (verb) first-person plural present indicative independent of feic	first-person form-of independent indicative plural present ulster
tímis		1. (verb) first-person plural past habitual independent of feic<br />2. (noun) vocative/genitive singular of tímeas (“thymus”)	first-person form-of habitual independent masculine past plural
tínn		1. (verb) first-person singular past habitual independent of feic	first-person form-of habitual independent past singular
tíocht		1. (noun) Cois Fharraige form of teacht	alt-of cois-fharraige masculine
tíodh		1. (verb) past habitual independent analytic of feic	analytic form-of habitual independent past ulster
tíogair		1. (noun) inflection of tíogar (“tiger”):<br />2. (noun) vocative/genitive singular<br />3. (noun) nominative/dative plural	dative form-of masculine nominative plural
tíogar		1. (noun) tiger (Panthera tigris)	masculine topic-felids
tíograch		1. (adj) tiger (attributive)	not-comparable
tíolacadh		1. (noun) verbal noun of tíolaic<br />2. (noun) gift (especially a divine one)<br />EXAMPLE: seacht dtíolacthaí an Spioraid Naoimh: the seven gifts of the Holy Spirit<br />3. (noun) conveyance (instrument transferring title)<br />4. (noun) grant (transfer of property by deed or writing)<br />5. (noun) talent, gift<br />6. (noun) dedication (note prefixed to a work of art)<br />7. (verb) inflection of tíolaic:<br />8. (verb) autonomous past indicative<br />9. (verb) third-person singular imperative	autonomous form-of imperative indicative masculine noun-from-verb past singular third-person topic-law
tíolacthaí		1. (noun) plural of tíolacadh	form-of plural
tíolaic		1. (verb) to convey (transfer legal rights)<br />2. (verb) to dedicate (set apart for religious purposes; inscribe to another)<br />3. (verb) to present, grant, bestow<br />4. (noun) verbal noun of tíolaic<br />5. (verb) alternative form of tionlaic	alt-of alternative feminine form-of noun-from-verb topic-law
tíonn		1. (verb) alternative spelling of tchíonn	alt-of alternative
tíor		1. (verb) dry up, parch; scorch, singe	transitive
tíoradh		1. (noun) verbal noun of tíor	form-of masculine noun-from-verb
tíortha		1. (noun) plural of tír (“land, country”)<br />2. (verb) past participle of tíor (“dry up, parch; scorch, singe”)<br />3. (noun) genitive singular of tíoradh	feminine form-of genitive masculine participle past plural singular
tíorántacht		1. (noun) tyranny; despotism, oppression<br />2. (noun) intensity, violence (of heat, etc.)	feminine
tíoróideach		1. (adj) thyroid<br />EXAMPLE: ailse thíoróideach: thyroid cancer	not-comparable topic-medicine
tíos		1. (noun) housekeeping<br />2. (noun) domestic establishment, household, home<br />3. (noun) essentials of home life, household goods<br />4. (noun) open house, hospitality<br />5. (noun) economy, thrift<br />6. (verb) present direct relative of feic.	direct form-of literary masculine present relative ulster
tír		1. (noun) land, country, nation	feminine
tír chluiche		1. (noun) sporting country; hunting ground	feminine topic-hunting
tír dhúchais		1. (noun) native land, homeland, motherland	feminine
tír mór		1. (noun) mainland	feminine topic-geography
tírdhreach		1. (noun) landscape (all senses)	masculine
tíre		1. (noun) genitive singular of tír	feminine form-of genitive singular
tírea-		1. (prefix) alternative form of tíri-	alt-of alternative morpheme
tíreacha		1. (noun) Cois Fharraige form of tíortha	alt-of cois-fharraige feminine plural
tíreaglóbailin		1. (noun) thyroglobulin	feminine topic-proteins
tíreolaíocht		1. (noun) geography	feminine topic-geography
tíreolaíochta		1. (noun) genitive singular of tíreolaíocht	feminine form-of genitive singular
tírghrá		1. (noun) patriotism	masculine
tírghráthóir		1. (noun) patriot	masculine
tíri-		1. (prefix) thyro-	morpheme topic-medicine
títhear		1. (verb) alternative spelling of tchíthear	alt-of alternative
títheá		1. (verb) second-person singular past habitual independent of feic	form-of habitual independent past second-person singular
títí		1. (verb) past habitual independent autonomous of feic	autonomous form-of habitual independent past
tóg		1. (verb) to raise, lift, hoist, elevate, put up<br />EXAMPLE: Fe dheire do bhí ar an gcaptaen a sheólta a thógaint suas agus dul go dtí dúthaigh éigin ag triall ar lasc [sic; lasta] eile.: Finally the captain had to hoist his sails and go to some country for another cargo.<br />2. (verb) to erect, build<br />3. (verb) to rear, bring up<br />EXAMPLE: gamhain a thógáil: to rear a calf<br />EXAMPLE: Rugadh agus tógadh i mBaile Átha Cliath é.: He was born and raised in Dublin.<br />4. (verb) to seize (take possession of by force, law etc.)<br />5. (verb) to take (a picture)<br />EXAMPLE: Thóg sé grianghraf.: He took a photograph.	
tóg suas		1. (verb) to take up, lift up, raise up	
tóga		1. (verb) present subjunctive analytic of tóg	analytic form-of present subjunctive
tógaibh		1. (verb) obsolete form of tóg	alt-of obsolete
tógaim		1. (verb) first-person singular present indicative/imperative of tóg	
tógaimid		1. (verb) first-person plural present indicative/subjunctive of tóg	first-person form-of indicative plural present subjunctive
tógaint		1. (noun) Munster form of tógáil: verbal noun of tóg	alt-of feminine munster
tógann		1. (verb) analytic present indicative of tóg	analytic form-of indicative present
tógbháil		1. (noun) obsolete spelling of tógáil	alt-of feminine obsolete
tógfaidh		1. (verb) future analytic of tóg	analytic form-of future
tógfar		1. (verb) autonomous future of tóg	autonomous form-of future
tógtar		1. (verb) autonomous present indicative/imperative of tóg	
tógtha		1. (verb) past participle of tóg	form-of participle past
tógáil		1. (noun) verbal noun of tóg<br />2. (noun) lifting<br />3. (noun) construction	feminine form-of noun-from-verb
tógálach		1. (adj) infectious, catching<br />2. (adj) sensitive, touchy (of person)	
tógálacht		1. (noun) infectiousness, transmissibility<br />2. (noun) sensitivity, touchiness	feminine informal topic-medicine
tógálaí		1. (noun) lifter, raiser; builder<br />2. (noun) breeder<br />3. (adj) inflection of tógálach:<br />4. (adj) genitive singular feminine<br />5. (adj) comparative degree	comparative feminine form-of genitive masculine singular
tógálaí droichead		1. (noun) bridge builder (engineer)	masculine topic-occupations
tóig		1. (verb) Cois Fharraige form of tóg	alt-of cois-fharraige
tóigeáil		1. (noun) Cois Fharraige form of tógáil	alt-of cois-fharraige feminine
tóin		1. (noun) buttocks<br />2. (noun) arse, bum, ass, butt<br />3. (noun) rear, back<br />4. (noun) aft, stern<br />5. (noun) basement, cellar	feminine topic-architecture topic-nautical
tóin in airde		1. (adv) upside down	
tóir		1. (noun) pursuit, chase; hunt, search; pursuing party<br />2. (noun) keenness, interest<br />EXAMPLE: Tá an-tóir agam ar an gceol seo.: I'm very keen on this music.<br />EXAMPLE: Ní mór an tóir atá ar an bhfíon seo.: This wine is not much sought after.<br />3. (noun) popularity<br />EXAMPLE: Tá tóir uirthi.: She’s popular.	feminine
tóireacha		1. (noun) plural of tóir	feminine form-of plural
tóirse		1. (noun) torch (stick with flame at one end)<br />2. (noun) flashlight (battery-powered hand-held light source)	masculine
tóithín		1. (noun) rotund person or animal<br />2. (noun) porpoise, harbour porpoise	masculine
tólamh		1. (noun) only used in i dtólamh	
tón		1. (noun) Munster form of tóin	alt-of feminine munster
tóna		1. (noun) genitive singular of tóin	feminine form-of genitive singular
tónacán		1. (noun) short, stumpy person<br />2. (noun) moving or sliding on one’s backside	masculine
tónáiste		1. (noun) tonnage<br />2. (noun) burden, hardship	masculine
tópás		1. (noun) topaz	masculine topic-gems topic-minerals
tóra		1. (noun) genitive singular of tóir	feminine form-of genitive singular
tóracs		1. (noun) thorax	masculine topic-anatomy
tóracsach		1. (adj) thoracic	not-comparable topic-anatomy
tóraigh		1. (verb) to probe<br />2. (verb) to pursue, seek	
